,Corrective Action,PLC,Model,fault,diagnostic
959,"(1) specify the head i/o number of the intelligent function module under control of the host cpu. 
(2) delete the interrupt pointer setting of the parameter.",mitsubishi,logic control,parameter error,"multiple cpu system, intelligent function module control another cpu specified interrupt pointer setting parameter."
960,"check the parameter items corresponding to those numerical values (parameter numbers), and correct when necessary.",mitsubishi,logic control,parameter error,"settings timer time limit setting, run-pause contact, common pointer number, general data processing, number empty slots, system interrupt settings set outside range used cpu module."
961,"check the parameter items corresponding to those numerical values (parameter numbers), and correct when necessary.",mitsubishi,logic control,parameter error,parameter contents broken.
962,change the file register file for the one refresh-enabled in the whole range.,mitsubishi,logic control,parameter error,automatic refresh range multiple cpu system exceeded file register capacity.
963,"check the parameter items corresponding to those numerical values (parameter numbers), and correct when necessary.",mitsubishi,logic control,parameter error,number device points set parameter device settings set range possible cpu module.
964,"check whether the parameter file version is . qpa, and whether the file contents are parameters.",mitsubishi,logic control,parameter error,"parameter file correspond q/qnacpu. alternatively, contents file parameters."
965,reset the parameter i/o allocation to control them under one cpu module,mitsubishi,logic control,parameter error,"multiple cpu system, modules qna set multiple control cpus."
966,match the number of (cpu modules in multiple cpu setting) - (cpus set as empty in i/o allocation) with that of actually mounted cpu modules.,mitsubishi,logic control,parameter error,parameter-set number cpu modules differs actual number multiple cpu system.
967,match the multiple cpu setting or control cpu setting in the parameter with that of the reference cpu (cpu no.1).,mitsubishi,logic control,parameter error,multiple cpu setting control cpu setting differs reference cpu multiple cpu system.
968,specify a multiple of 16 for the refresh starting device.,mitsubishi,logic control,parameter error,"multiple cpu automatic refresh setting bit device specified refresh device, number multiple 16 specified refresh starting device.."
969,specify the device that may be specified for the refresh device.,mitsubishi,logic control,parameter error,device specified one may specified.
970,set the number of send points to an even number.,mitsubishi,logic control,parameter error,number send points odd number.
971,"(1) delete the melsecnet/10(h) network parameter of the qj71lp21/br11 under control of another cpu. 
(2) change the setting to the head i/o number of the qj71lp21/br11 under control of the host cpu.",mitsubishi,logic control,link parameter error,"multiple cpu system, qj71lp21/br11 control another cpu specified head i/o number network setting parameter melsecnet/h."
972,reset the cpu module.,mitsubishi,logic control,link parameter error,link parameters qj71lp21/br11 operating ordinary station rewritten control st
973,correct and write the network parameters.,mitsubishi,logic control,link parameter error,number actually installed modules different designated number modules setting parameter melsecnet/h.
974,correct and write the network parameters.,mitsubishi,logic control,link parameter error,head i/o number actually installed modules different designated network setting parameter melsecnet/h.
975,correct and write the network parameters.,mitsubishi,logic control,link parameter error,data parameter cannot handled.
976,correct and write the network parameters.,mitsubishi,logic control,link parameter error,"although qnacpu control station master station, network parameters written."
977,change the file register file for the one refresh-enabled in the whole range.,mitsubishi,logic control,link parameter error,link refresh range exceeded file register capacity.
978,correct the type or station number of the melsecnet/h module in the parameter to meet the used system.,mitsubishi,logic control,link parameter error,"station number melsecnet/h module 0, plc plc network parameter setting made."
979,correct the type or station number of the melsecnet/h module in the parameter to meet the used system.,mitsubishi,logic control,link parameter error,"station number melsecnet/h module 0, remote master parameter setting made."
980,match the contents specified by a parameter to that of the actually mounted.,mitsubishi,logic control,link parameter error,network no. specified parameter different actually mounted network.
981,match the contents specified by a parameter to that of the actually mounted.,mitsubishi,logic control,link parameter error,head i/o no. specified parameter different actually mounted network.
982,match the contents specified by a parameter to that of the actually mounted.,mitsubishi,logic control,link parameter error,network type specified parameter different actually mounted network.
983,match the contents specified by a parameter to that of the actually mounted.,mitsubishi,logic control,link parameter error,network refresh parameter melsecnet/h melsecnet/ 10 specified area.
984,correct and write the network parameters.,mitsubishi,logic control,link parameter error,error occurred network module result network parameter check.
985,correct and write the network parameters.,mitsubishi,logic control,link parameter error,unique parameter melsecnet/h melsecnet/10 correct.
986,delete the ethernet setting parameter of the qj71e71 (-b2) under control of another station.,mitsubishi,logic control,link parameter error,"multiple cpu system, qj71e71 (-b2) control another station specified head i/o number ethernet setting parameter."
987,change the setting to the head i/o number of the qj71e71 (-b2) under control of the host cpu.,mitsubishi,logic control,link parameter error,"multiple cpu system, qj71e71 (-b2) control another station specified head i/o number ethernet setting parameter."
988,correct and write the network parameters.,mitsubishi,logic control,link parameter error,"although number modules set 1 ethernet module count setting parameter setting, number actually mounted module 0."
989,correct and write the network parameters.,mitsubishi,logic control,link parameter error,head i/o number ethernet setting parameter differs i/o number. actually mounted module.
990,correct and write the network parameters.,mitsubishi,logic control,link parameter error,aj71qe71 exist position i/o number set parameter.
991,correct and write the network parameters.,mitsubishi,logic control,link parameter error,i/o number designation overlapping.
992,correct and write the network parameters.,mitsubishi,logic control,link parameter error,numbers parameter actually mounted aj71qe71 different.
993,correct and write the network parameters.,mitsubishi,logic control,link parameter error,ethernet (parameter + dedicated instruction) set 5 more.
994,correct and write the network parameters.,mitsubishi,logic control,link parameter error,"ethernet , melsecnet/h melsecnet/10 use network number."
995,correct and write the network parameters.,mitsubishi,logic control,link parameter error,"network number, station number group number set parameter range."
996,correct and write the network parameters.,mitsubishi,logic control,link parameter error,i/o no.is using cpu range.
997,correct and write the network parameters.,mitsubishi,logic control,link parameter error,contents unique parameter ethernet correct.
998,correct and write the network parameters.,mitsubishi,logic control,link parameter error,"although number modules set 1 cc-link module count setting parameter setting, number actually mounted module 0."
999,correct and write the network parameters.,mitsubishi,logic control,link parameter error,head i/o number common parameters different actually mounted module.
1000,correct and write the network parameters.,mitsubishi,logic control,link parameter error,station types cc-link module count setting parameter mismatch.
1001,write and correct the parameters.,mitsubishi,logic control,link parameter error,contents ethernet parameter correct.
1002,change the file register file to the one refresh-enabled in the whole range.,mitsubishi,logic control,link parameter error,cc-link refresh range exceeded file register capacity.
1003,check the parameter setting.,mitsubishi,logic control,link parameter error,network refresh parameter cc-link range.
1004,check the parameter setting.,mitsubishi,logic control,link parameter error,contents cc-link parameter correct.
1005,correct and write the parameters.,mitsubishi,logic control,sfc parameter error,contents parameter setting illegal.
1006,correct and write the parameters.,mitsubishi,logic control,sfc parameter error,contents sfc block adjunct information illegal.
1007,correct and write the parameters.,mitsubishi,logic control,sfc parameter error,number step relays specified parameter less used program.
1008,correct and write the parameters.,mitsubishi,logic control,sfc parameter error,execution type sfc program specified parameter scan execution.
1009,check the parameter setting.,mitsubishi,logic control,sp parameter error,head i/o number intelligent function module parameter set gx configurator differs actual mounted i/o number.
1010,,mitsubishi,logic control,sp parameter error,link refresh range intelligent function module exceeded file register capacity.
1011,check the parameter setting.,mitsubishi,logic control,sp parameter error,refresh parameter intelligent function module range.
1012,check the parameter setting.,mitsubishi,logic control,sp parameter error,parameter intelligent function module correct.
1013,delete the automatic refresh setting or similar parameter setting of the intelligent function module under control of another cpu.,mitsubishi,logic control,sp parameter error,"multiple cpu system, automatic refresh setting similar parameter setting made intelligent function module control another cpu."
1014,change the setting to the automatic refresh setting or similar parameter setting of the intelligent function module under control of the host cpu.,mitsubishi,logic control,sp parameter error,"multiple cpu system, automatic refresh setting similar parameter setting made intelligent function module control another cpu."
1015,change the head i/o number of the target module to within the 0h to 0ff0h range.,mitsubishi,logic control,remote pass error,head i/o number target module remote password file set 0h 0ff0h.
1016,mount qj71c24 (-r2) or qj71e71 (-b2) of function version b in the position specified as the head i/o no. of the remote password file.,mitsubishi,logic control,remote pass error,position specified head i/o number remote password file incorrect due module mounted.
1017,"(1) change it to the qj71c24 (-r2) or qj71e71 (-b2) of function version a under control of the host cpu. 
(2) delete the remote password setting.",mitsubishi,logic control,remote pass error,qj71c24 (-r2) qj71e71 (-b2) function version b control another cpu specified multiple cpu system.
1018,"(1) delete from the program the link direct device which designates the network module under control of another cpu. 
(2) using the link direct device, designate the network module under control of the host cpu.",mitsubishi,logic control,operation error,"multiple cpu system, link direct device (j g ) designated network module control another cpu."
1019,"using the multiple cpu dedicated instruction completion bit, provide interlocks to prevent one qcpu module from executing 32 or more multiple cpu dedicated instructions.",mitsubishi,logic control,operation error,33 multiple cpu dedicated instructions executed one cpu module.
1020,set the numbers of the cc-link instructions to be executed to 64 or less.,mitsubishi,logic control,operation error,number cc-link instructions executed exceeds 64.
1021,execute the cc-link instruction after setting the cc-link parameter.,mitsubishi,logic control,operation error,cc-link parameter set cc-link instruction executed.
1022,set the nesting levels to16 or less.,mitsubishi,logic control,next error,16 nesting levels programmed.
1023,set the nesting levels to16 or less.,mitsubishi,logic control,can't execute (p),16 nesting levels programmed.
1024,reduce total number of steps to below the maximum value.,mitsubishi,logic control,can't set (s),total number steps sfc programs exceeds maximum value.
1025,"read the individual information of the error using a peripheral device, check its value (time), and shorten the scan time.",mitsubishi,logic control,wdt error,scan time initial execution type program exceeded initial execution monitoring time designated plc ras setting parameter.
1026,"read the individual information of the error using a peripheral device, check its value (time), and shorten the scan time.",mitsubishi,logic control,wdt error,program scan time exceeded wdt setting value designated plc ras setting parameter.
1027,review the constant scan time and low speed program execution time in the parameter in order to ensure the surplus time of constant scan sufficiently.,mitsubishi,logic control,prg. time,low speed program execution time designated plc ras setting parameter exceeded surplus time constant scan.
1028,"read the individual information of the error using a peripheral device, check its value (time), and shorten the scan time.",mitsubishi,logic control,prg. time,scan time low speed scan type exceeded low speed execution monitoring time designated plc ras setting parameter.
1029,synchronize the programs and parameters of the control and standby system.,mitsubishi,logic control,prb. verify error,programs parameters control standby system redundant system same.
1030,synchronize the operation statuses of the control and standby system.,mitsubishi,logic control,mode. verify error,operational status control standby system redundant system same.
1031,change the cpu modules in order of the standby system cpu module and control system cpu module.,mitsubishi,logic control,trk memory error,tracking memory fault cpu module detected initial processing.
1032,check the condition of the other stations.,mitsubishi,logic control,trk memory error,cpu module detected fault handshake tracking.
1033,check the control system condition.,mitsubishi,logic control,control exe.,standby system switched control system redundant system.
1034,check the control system condition.,mitsubishi,logic control,control wait,control system switched standby system redundant system.
1035,check the standby system condition.,mitsubishi,logic control,can't execute chang,"since standby system error similar status redundant system, control system cannot switched standby system."
1036,this suggests a bus switching module hardware fault. contact your nearest mitsubishi representative.,mitsubishi,logic control,can't execute chang,switching disabled bus switching module fault.
1037,check the remote i/o network setting.,mitsubishi,logic control,can't execute chang,"initial processing, switching cannot executed since multiplex master station remote i/o network installed standby station."
1038,"read the individual information of the error, check the error of the cpu resulting in the cpu module fault, and remove the error.",mitsubishi,logic control,multi cpu,"multiple cpu system, cpu module fault occurred cpu ""all station stop stop error plc"" selected operating mode."
1039,remove the qcpu of function version a from the base module.,mitsubishi,logic control,multi cpu,"multiple cpu system, qcpu function version mounted."
1040,"read the individual information of the error, check the error of the cpu resulting in the cpu module fault, and remove the error.",mitsubishi,logic control,multi cpu,"multiple cpu system, stop error occurs cpu no.1 power-on cpu cannot start."
1041,"reset the cpu module and make a run again. if the same error is displayed again, this suggests any cpu module hardware fault.",mitsubishi,logic control,multi cpu,response communication target cpu module initial communication multiple cpu system.
1042,remove the qcpu of function version a from the base module.,mitsubishi,logic control,multi cpu,"multiple cpu system, qcpu function version mounted."
1043,"reset the cpu module and make a run again. if the same error is displayed again, this suggests any cpu module hardware fault.",mitsubishi,logic control,multi cpu,response communication target cpu module initial communication multiple cpu system.
1044,"read the individual information of the error, and replace the faulty cpu module.",mitsubishi,logic control,multi exe. error,"multiple cpu system, faulty cpu module mounted."
1045,replace the cpu of the function version a with the cpu of the function version b.,mitsubishi,logic control,multi exe. error,"multiple cpu system, qcpu function version mounted."
1046,do not reset any of the no. 2 to 4 cpu modules. reset the qcpu of cpu no.1 and restart up the multiple cpu system.,mitsubishi,logic control,multi exe. error,"multiple cpu system, cpu no. 2 4 reset power on."
1047,"read the individual information of the error, check the error of the cpu resulting in the cpu module fault, and remove the error.",mitsubishi,logic control,multi cpu error,"multiple cpu system, cpu fault occurred cpu ""where system stop selected"" operation mode."
1048,"read the individual information of the error using a peripheral device, and check the program of its numerical value (annunciator number).",mitsubishi,logic control,f,annunciator f turn
1049,"read the individual information of the error using a peripheral device, and check the program of its numerical value (error number).",mitsubishi,logic control,chk err,error detected chk instruction.
1050,"set the parameter valid drive to the standard rom. then, switch power on again and perform boot operation from the standard rom.",mitsubishi,logic control,boot ok,storage data onto rom completed normally automatic write standard rom.
1051,check the details of the generated error by software package of applicable cpu module.,mitsubishi,logic control,cont. unit error,error occurred cpu module qcpu.
1052,change to prog. mode and correct the error.,panason,fp0r,syntax error,program syntax error written.
1053,"change to prog. mode and correct the program so that one relay is not used for two or more ot instructions,or, set the duplicated output to “enable” in system register20.",panason,fp0r,duplicated output error,two ot(out) instructions kp(keep) instructions programmed using relay.also occurs using timer/counter number.
1054,change to prog. mode and enter the two instructions which must be used in a pair in the correct positions.,panason,fp0r,paired error,"instructions must used pair jump (jp lbl), one instruction either missing incorrect position."
1055,"change to prog. mode, check the system register settings, and change so that the settings and the instruction agree.",panason,fp0r,parameter mismatch error,instruction written agree system register settings.
1056,change to prog. mode and enter the instruction into the correct area.,panason,fp0r,program area error,instruction must written specific area (main program area subprogram area) written different area
1057,change to prog. mode and reduce the total number of steps for the program.,panason,fp0r,compile memory full error,program large compile program memory.
1058,correct the program so that the high-level instructions executed in every scan and only at the leading edge are triggered separately.,panason,fp0r,high-level instruction type error,"program, high-level instructions, execute every scan leading edge trigger, programmed triggered one contact."
1059,enter the correct combination of operands.,panason,fp0r,high-level instruction operand combination error,incorrect operand instruction requires specific combination operand
1060,try to send the program again.,panason,fp0r,program error,program may damaged.
1061,use the master memories created with the same model.,panason,fp0r,master memory model unmatch error,models master memories different.
1062,"remove the master memory, and check whether the error turns off. when the error turned off, rewrite the master memory as its contents are damaged, and use it again. ",panason,fp0r,user's rom error,"master memory cassette mounted, master memor cassette may damaged."
1063,"program the memory unit again and try to operate. if the same error is detected, try to operate with another memory unit.",panason,fp0r,user's rom error,probably abnormality memory unit
1064,check the contents of the rom,panason,fp0r,user's rom error,may problem installed rom.
1065,turn off the power and re-configure units referring to the hardware manual.,panason,fp0r,unit installation error,units installed exceed limitations.
1066,check the system register setting or initialize the system registers.,panason,fp0r,system register error,probably abnormality system register.
1067,set a correct parameter.,panason,fp0r,configuration parameter error,parameter error detected mewnet-w2 configuration area.
1068,turn off the power and check the noise conditions.,panason,fp0r,interrupt error 1,interrupt occurred without interrupt request . hardware problem error due noise possible.
1069,check the number of the interrupt program and change it to agree with the interrrupt request..,panason,fp0r,interrupt error 2,interrupt program interrupt occurred.
1070,check the contents of special data register and locate the abnormal unit.then turn off the power and replace the unit with a new one.,panason,fp0r,i/o status error,abnormal unit installed.
1071,remove the illegal unit from the slave station.,panason,fp0r,mewnet-f slave illegal unit error,"unit, cannot installed slave station mewnet-f link system,is installed slave station."
1072,re-configure the system so that the number of slots and i/o points is within the specified range.,panason,fp0r,mewnet-f (remore i/o) limitation error,number slots i/o points used mewnet-f(remote i/o) system exceeds limitation.
1073,re-configure the i/o map correctly,panason,fp0r,mewnet-f i/o mapping error,i/o overlap i/o setting range detected allocated i/o mewnet-f i/o map.
1074,re-configure the i/o map for slave stations according to the i/o points of the slave stations.,panason,fp0r,mewnet-f slave i/o terminal mapping error,"i/o mapping remote i/o terminal boards,remote i/o terminal units i/o link correct."
1075,install an ic memory card that has the program proterly recorded and execute the read once again.,panason,fp0r,ic card read error,ic memory card installed.
1076,install an ic memory card that has the program proterly recorded and execute the read once again.,panason,fp0r,ic card read error,program file damaged.
1077,install an ic memory card that has the program proterly recorded and execute the read once again.,panason,fp0r,ic card read error,writing disabled.
1078,install an ic memory card that has the program proterly recorded and execute the read once again.,panason,fp0r,ic card read error,abnormality autoexec.spg file.
1079,install an ic memory card that has the program proterly recorded and execute the read once again.,panason,fp0r,ic card read error,program size stored card larger capacity cpu.
1080,check the contents of special data registers and abnormal i/o unit.then check the unit.,panason,fp0r,i/o error,abnormal i/o unit.
1081,"check the contents of special data registers(fp3:dt9002,dt9003,fp10sh:dt9 0002,dt90003) and the erroneous master unit and abnormal i/o unit. then check the unit.",panason,fp0r,i/o error,mewnet-tr communication error fp3 fp10sh
1082,"check the contents of special data registers dt9006,dt9007 and locate the abnormal intelligent unit. then check the unit referring to its manual..",panason,fp0r,intelligent unit error,abnormality intelligent unit.
1083,check the contents of special data register and locate the erroneous expansion unit. it checks whether an expansion connector is in agreement.,panason,fp0r,i/o unit verify error,i/o unit (expansion unit) wiring condition changed compared time fo power up.
1084,check the program and modify it so that the program can execute a scan within the specified time.,panason,fp0r,system watching dog timer error,scan time required program execution exceeds setting system watching dog timer.
1085,check the contents of special data registers dt90131 to dt90137 and locate the abnormal slave station and recover the communication condition.,panason,fp0r,remote i/o communication error,mewnet-f communication error. communication abnormally caused transmission cable power slave st
1086,check the contents of special data registers dt90131 to dt90137 and locate the abnormal slave station and recover the slave condition.,panason,fp0r,mewnet-f attribute error,"unit slave station, abnormallty as: -missing unit -abnormal intelligent unit detected."
1087,turn on the power supply for the expansion unit at the same time or before the control unit is turend on.,panason,fp0r,expansion unit power supply sequence error,power supply expansion unit turned control unit.
1088,"check the installation of the backup battery and then replace battery if necessary. by setting the system register 4, you can disregard this self-diagnostic error.",panason,fp0r,backup battery error,voltage backup battery lowered backup battery conrol unit installed.
1089,"check stations at both ends of the communication path,and set them in the terminal station using the dip switches.",panason,fp0r,mewnet-f terminal station error,terminal station setting properly performed.
1090,charge or replace the backup battry of ic memory card.,panason,fp0r,ic memory card back_x0002_up battery error,voltage backup battery ic memory card lowered. batt.led turn on.
1091,charge or replace the backup battery of ic memory card.,panason,fp0r,ic memory card back_x0002_up battery error,voltage backup battery ic memory card lowers.the batt.led turn on.
1092,replace the ic memory card compatible with fp2sh/fp10sh.,panason,fp0r,incompatible ic memory card error,ic memory card installed compatible.
1093,either install a unit in the specified slot or change the parameter.,panason,fp0r,unit configur,mewnet-w2 link unit mcu(multi communication unit) installed slot specified using configuration data.
1094,take steps to clear the error condition according to the specification you chose.,panason,fp0r,self_x0002_diagnostic error set f148 (err)/p148 (perr) instruct,error specified f148 (err)/p148(perr) instruction occurred.
1095,check the application logic.,yokogawa,centum,inter-scs safety communication error inform,error occurs application created incorrectly.
1096,check the producing side scs and the communication path.,yokogawa,centum,inter-scs safety communication error inform,data received within reception interval timeout valu
1097,check the producing side scs and the communication path.,yokogawa,centum,inter-scs safety communication error inform,time diagnosis found error.
1098,check the producing side scs and the communication path.,yokogawa,centum,communication stopped data longer arrived.,"communication cut off, producing side stopped."
1099,cancel the variable locks,yokogawa,centum,number locks exceed,operation seng. number locks mani
1100,cancel overrides,yokogawa,centum,number overrides exceed,operation his. many overrides.
1101,disable override fbs,yokogawa,centum,number enabled overrides exceed,total number override fbs override enabled state exceeded limit count (3 example) specified sys_ovr fb.
1102,inactivate (reset to off) the passwd fbs that have exceeded the limit count.,yokogawa,centum,number active passwd fbs exceed,operation his. many active passwd fbs.
1103,check to see if the connected devices and connecting cables are normal.,yokogawa,centum,ch fail,channel error detect
1104,"check to see if a cable connecting the gps unit and the gps interface unit is disconnected or cut. also, check to see if a terminator is connected to the ends of the cable.",yokogawa,centum,gps interface unit error,cpu module detected gps unit error time synchronization error. problem cable connecting gps unit gps interface unit.
1105,replace the gps interface unit.,yokogawa,centum,gps interface unit error,gps interface unit failed.
1106,check the sender scs and its communication path.,yokogawa,centum,information diagnosis error received data scs link transmission.,data received with_x0002_in reception interval timeout valu
1107,check the sender scs and its communication path.,yokogawa,centum,information diagnosis error received data scs link transmission.,time diagnosis found error.
1108,cancel scs link transmission locks for some scs.,yokogawa,centum,number locked stations scs link transmission exceed,number locked stations exceeded limit
1109,cancel inter-scs safety communication locks for some scs.,yokogawa,centum,number locked stations inter-scs safety communication exceed,number locked stations exceeded limit
1110,set the setting values of the external communication function blocks with data retaining function again.,yokogawa,centum,retainable data initialized.,database different crc codes generation time offline-down_x0002_loaded scs. data saved memory backup battery volatilized.
1111,check whether all inter-scs safety communication locks have been cancel_x0002_led and cancel unnecessary locks.,yokogawa,centum,information inter-scs safety communication data lock time-up,inter-scs safety communication lock exceeded time limit (8 hours example) specified sys_force_bd fb.
1112,"check whether all scs link transmission locks have been cancelled, and cancel unnecessary locks.",yokogawa,centum,information scs link transmission lock time-up,scs link transmission lock continued exceeding time limit (8 hours example) specified sys_force_lt fb.
1113,enter the correct password for manual operation fb again.,yokogawa,centum,invalid password manual operation fb,password entered password set manual opera_x0002_tion fb match.
1114,"check whether all communication module locks have been cancelled, and cancel unnecessary locks.",yokogawa,centum,information communication module lock time-up,communication module lock continued exceeding time limit (8 hours example) specified sys_force_sc fb.
1115,replace the applicable cpu module.,yokogawa,centum,nvram diagnosis error,error detected diagnosis nvram (nonvolatile memory) cpu module. nvram may faulty.
1116,"if the error is caused by the physical damage of the flash memory, this system alarm will occur even after the damaged cpu is switched to standby. under this circumstance, it is necessary to change the damaged cpu module.",yokogawa,centum,flash memory diagnosis error,error detected self-diagnosis flash memory cpu modul
1117,check and confirm that the total number of pou indicated in this message is equal to the total number of pou indicated by database validity check tool.,yokogawa,centum,information resource change online change download,resource changed online change download.
1118,change the cpu module,yokogawa,centum,failed write flash memori,flash memory may faulty.
1119,"reduce the communication load on the scs. if this error occurs regularly, review the balance between the application logic amount and the scan period",yokogawa,centum,failed update external communication data,cpu processing time allocated external communication function processing sufficient.
1120,revert the security level to “2.”,yokogawa,centum,information security level time-up,security level reverted.
1121,start soe viewer on seng and upload events from scs.,yokogawa,centum,request upload soe seng,"message generated every time 12,000 events occurred scs."
1122,start soe viewer on seng and upload the events in the file.,yokogawa,centum,notification saving soe trip signal file sc,soe trip signal file saved scs.
1123,"forcing function, sys_force fb",yokogawa,centum,information lock time-up,lock continued exceeding time limit (8 hours example) specified sys_force fb.
1124,set the security level to “1” and then execute online change download again.,yokogawa,centum,online change download error,security level stays “2.”
1125,"check whether overrides were released, and release unnecessary overrides.",yokogawa,centum,information override state time-up,override continued exceeding time limit (8 hours example) specified sys_ovr fb.
1126,specify the correct password for passwd fb and enter it again.,yokogawa,centum,invalid password passwd fb,password entered password set passwd fb match.
1127,deactivate passwd fb that is not required to be active.,yokogawa,centum,information active passwd fb time-up,passwd fb active exceeding time limit (10 hours example) specified sys_pswd.
1128,execute override operation again.,yokogawa,centum,override communication error,"temporary communication error occurred, scs detected problem communication data"
1129,the cpu module on the standby side takes over control. replace the cpu module that was stopped.,yokogawa,centum,transfer control right safety control st,cpu module one side stopped.
1130,the cpu module on the standby side takes over control. replace the cpu module that was stopped.,yokogawa,centum,transfer control right safety control st,error occurred cpu module one side.
1131,"check to see if the application logic con_x0002_tains zero division or not, and correct the application logic if it contains.",yokogawa,centum,fail information safety control st,zero division occurred running application logic.
1132,check the application and find out which logic program is accessing the out-of-range array data and correct the error.,yokogawa,centum,fail information safety control st,application logic trying access array datum beyond scope array.
1133,run offline downloading.,yokogawa,centum,fail information safety control st,database inconsistence de_x0002_tected. may caused restarting scs without releasing brake point.
1134,"for a system that contains optical esb bus repeater modules, the firmware of cpu with the proper revision number should be used.",yokogawa,centum,fail information safety control st,firmware (revision f4) cpu module old support system optical esb bus repeater modul
1135,match the cpu model and station model with each other.,yokogawa,centum,fail information safety control st,cpu model station model inconsistent.
1136,check the application and find out what caused the calculation overflow and then modify it.,yokogawa,centum,fail information safety control st,calculation running application overflowed.
1137,replace the cpu module.,yokogawa,centum,self-diagnosis error clock inside cpu modul,error detected self-diagnosis clock inside safety control st
1138,replace the cpu module.,yokogawa,centum,rom checksum error cpu modul,rom checksum error detected indicated cpu module (right side example) safety control station (station name = scs0101).
1139,execute offline download.,yokogawa,centum,online downloading abnormal end,scs reset started online change download.
1140,replace the failed fan unit.,yokogawa,centum,safety control station fan alarm,cooling fan stopped revolution abnormal.
1141,"after checking the operation of the cooling fans, report to yokogawa’s service department as necessary.",yokogawa,centum,safety control station temperature alarm,cpu module temperature exceeded specified value.
1142,replace the applicable power supply module.,yokogawa,centum,power supply module alarm safety control st,power supply module failur
1143,"make sure that the switch of the applicable battery is on. if the above message occurs even if the battery switch is on, replace the battery.",yokogawa,centum,battery alarm cpu modul,"battery switch off, battery faulty."
1144,execute online change download again.,yokogawa,centum,information frame reception online change download commun,communication frame received twice execution online change download. “code” “frame” indicate detailed internal information.
1145,it is necessary to determine an action to take based on the “code” and “data” information.,yokogawa,centum,information online change download error,error occurs error data cannot saved safety control station side.
1146,"check to see if the esb bus cables are connected correctly. check for incorrect connection or bad connection of the cables, or check the terminators of the bus.",yokogawa,centum,esb bus error,esb bus error one side.
1147,replace the power supply module of the applicable node.,yokogawa,centum,failure power supply module nod,failure power supply module i/o nod
1148,replace the i/o module.,yokogawa,centum,failure i/o modul,i/o module error detected.
1149,run iom download.,yokogawa,centum,failure i/o modul,communication program downloaded communication module.
1150,change the communication module.,yokogawa,centum,failure i/o modul,response communication module due communication module abnormality.
1151,run iom download,yokogawa,centum,failure i/o modul,communication program communication module program communication defined seng.
1152,check the model of the communication module.,yokogawa,centum,failure i/o modul,physically installed communication module shows different model name communication module defined seng.
1153,change the communication module.,yokogawa,centum,failure i/o modul,error found self-diagnosis.
1154,change the communication module.,yokogawa,centum,failure i/o modul,error found resetting communication module.
1155,"if this error occurred after replacing a module or at startup, the database might not have been downloaded to the i/o module. execute iom download.",yokogawa,centum,i/o module database error occur,database i/o module database scs match. iom download executed.
1156,"if this error occurred during i/o module operation, the i/o module may be faulty. replace the i/o module.",yokogawa,centum,i/o module database error occur,database i/o module database scs match. iom failure.
1157,correct the application and reduce the load on the safety control station.,yokogawa,centum,heavy load periodical process,load safety control station heavy.
1158,replace the cpu node or the cpu module mounted.,yokogawa,centum,self-diagnostic sen-bus failur,failure sen-bus cpu node cpu module mounted.
1159,replace the cpu module.,yokogawa,centum,time self-diagnostic testing error,clock error detected self-diagnosis cpu either redundant non-redundant running.
1160,"if the windows for the indicated safety control station are displayed on the centum his, the windows need to be closed. modifying the application pr_x0002_grams may also reduce the communication load to the safety control station",yokogawa,centum,communication overload,communication load safety control station exceeded limit.
1161,replace the cpu module or the cpu node.,yokogawa,centum,faulty one esb bus cpu modul,cpu module backboard cpu node may faulty.
1162,replace the cpu module.,yokogawa,centum,self-diagnosis detected i/o error cpu modul,cpu module error detected.
1163,"if a system contains optical esb bus repeater module, the proper revision of cpu should be used.",yokogawa,centum,self-diagnosis detected i/o error cpu modul,revision firmware (f4) used cpu module obsolete system configured optical esb bus repeater modules.
1164,"if many i/o modules are installed on the esb bus extended with optical ca_x0002_bles, estimate the i/o communication band and check the validity.",yokogawa,centum,self-diagnosis detected i/o error cpu modul,scsp2-s: error detected diagnosis i/o operation.
1165,replace the scp461 card.,yokogawa,centum,self-diagnosis detected i/o error cpu modul,scsp2-s: may failure i/o unit cpu module.
1166,correct and verify. disable the bios power-saving options.,rockwel,plantpax dc,bios power-sav,bios power-saving enabled.
1167,ensure cpu utilization is within 50% of used resources.,rockwel,plantpax dc,cpu util,cpu utilization exceeds system recommendation.
1168,ensure memory utilization is within 50% of used resources.,rockwel,plantpax dc,memori,memory utilization exceeds system recommendation.
1169,review and verify the network architecture for system compliance,rockwel,plantpax dc,bandwidth util,bandwidth utilization 50%
1170,reset the network architecture.,rockwel,plantpax dc,packet error r,error rate zero increasing.
1171,review and verify the network architecture for system compliance,rockwel,plantpax dc,packet error r,error rate greater 0.
1172,rectify the environment and verify the network design.,rockwel,plantpax dc,temperatur,high temperatur
1173,review and verify the network architecture for system compliance,rockwel,plantpax dc,network cpu util,cpu allocation greater 50%
1174,review and verify the network architecture for system compliance,rockwel,plantpax dc,network memory util,memory usage greater 50%.
1175,enable the firewall and ensure you follow the firewall rules that are detailed in the plantpax dcs infrastructure configuration user manual.,rockwel,plantpax dc,firewal,firewall dis
1176,ensure the os being used is supported by the installed products.,rockwel,plantpax dc,operating system,mismatch operating system installed products.
1177,correct and reverify.,rockwel,plantpax dc,nic power-sav,nic power-saving dis
1178,disable the windows power-saving mode.,rockwel,plantpax dc,windows power-sav,windows power-saving enabled turns windows os features interfere network throughput.
