PLC,Model,Fault,Diagnostic,Corrective Action
mitsubishi,logic controller,link parameter error,the network no specified by a parameter is different from that of the actually mounted network,match the contents specified by a parameter to that of the actually mounted
mitsubishi,logic controller,link parameter error,the head io no specified by a parameter is different from that of the actually mounted network,match the contents specified by a parameter to that of the actually mounted
mitsubishi,logic controller,link parameter error,the network type specified by a parameter is different from that of the actually mounted network,match the contents specified by a parameter to that of the actually mounted
mitsubishi,logic controller,link parameter error,the network refresh parameter of the melsecneth and melsecnet  is out of the specified area,match the contents specified by a parameter to that of the actually mounted
mitsubishi,logic controller,link parameter error,an error was occurred on the network module by result of network parameter check,correct and write the network parameters
mitsubishi,logic controller,link parameter error,the unique parameter for melsecneth and melsecnet is not correct,correct and write the network parameters
mitsubishi,logic controller,link parameter error,in a multiple cpu system the qje b under control of another station is specified as the head io number of the ethernet setting parameter,delete the ethernet setting parameter of the qje b under control of another station
mitsubishi,logic controller,link parameter error,in a multiple cpu system the qje b under control of another station is specified as the head io number of the ethernet setting parameter,change the setting to the head io number of the qje b under control of the host cpu
mitsubishi,logic controller,link parameter error,although the number of modules has been set to  or more in the ethernet module count setting parameter setting the number of actually mounted module is ,correct and write the network parameters
mitsubishi,logic controller,link parameter error,the head io number of the ethernet setting parameter differs from the io number of the actually mounted module,correct and write the network parameters
mitsubishi,logic controller,link parameter error,ajqe does not exist in the position of io number set by the parameter,correct and write the network parameters
mitsubishi,logic controller,link parameter error,io number designation is overlapping,correct and write the network parameters
mitsubishi,logic controller,link parameter error,numbers of the parameter and actually mounted ajqe are different,correct and write the network parameters
mitsubishi,logic controller,link parameter error,ethernet parameter  dedicated instruction is set to  or more,correct and write the network parameters
mitsubishi,logic controller,link parameter error,ethernet  melsecneth and melsecnet use the same network number,correct and write the network parameters
mitsubishi,logic controller,link parameter error,network number station number or group number set by the parameter is out of range,correct and write the network parameters
mitsubishi,logic controller,link parameter error,the io nois out of the using cpu range,correct and write the network parameters
mitsubishi,logic controller,link parameter error,the contents of unique parameter for ethernet are not correct,correct and write the network parameters
mitsubishi,logic controller,link parameter error,although the number of modules has been set to  or more in the cclink module count setting parameter setting the number of actually mounted module is ,correct and write the network parameters
mitsubishi,logic controller,link parameter error,the head io number in the common parameters is different from that of the actually mounted module,correct and write the network parameters
mitsubishi,logic controller,link parameter error,the station types for the cclink module count setting parameter are mismatch,correct and write the network parameters
mitsubishi,logic controller,link parameter error,the contents of the ethernet parameter are not correct,write and correct the parameters
mitsubishi,logic controller,link parameter error,the cclink refresh range exceeded the file register capacity,change the file register file to the one refreshenabled in the whole range
mitsubishi,logic controller,link parameter error,the network refresh parameter for cclink is out of range,check the parameter setting
mitsubishi,logic controller,link parameter error,the contents of cclink parameter are not correct,check the parameter setting
mitsubishi,logic controller,sfc parameter error,the contents of parameter setting are illegal,correct and write the parameters
mitsubishi,logic controller,sfc parameter error,the contents of sfc block adjunct information are illegal,correct and write the parameters
mitsubishi,logic controller,sfc parameter error,the number of step relays specified in the parameter is less than that used in the program,correct and write the parameters
mitsubishi,logic controller,sfc parameter error,the execution type of the sfc program specified in the parameter is other than scan execution,correct and write the parameters
mitsubishi,logic controller,sp parameter error,the head io number in the intelligent function module parameter set on gx configurator differs from the actual mounted io number,check the parameter setting
mitsubishi,logic controller,sp parameter error,the link refresh range of the intelligent function module exceeded the file register capacity,nan
mitsubishi,logic controller,sp parameter error,the refresh parameter of intelligent function module is out of range,check the parameter setting
mitsubishi,logic controller,sp parameter error,the parameter of intelligent function module is not correct,check the parameter setting
mitsubishi,logic controller,sp parameter error,in a multiple cpu system automatic refresh setting or similar parameter setting was made to the intelligent function module under control of another cpu,delete the automatic refresh setting or similar parameter setting of the intelligent function module under control of another cpu
mitsubishi,logic controller,sp parameter error,in a multiple cpu system automatic refresh setting or similar parameter setting was made to the intelligent function module under control of another cpu,change the setting to the automatic refresh setting or similar parameter setting of the intelligent function module under control of the host cpu
mitsubishi,logic controller,remote pass error,the head io number of the target module in the remote password file is set to other than h to ffh,change the head io number of the target module to within the h to ffh range
mitsubishi,logic controller,remote pass error,the position specified as the head io number of the remote password file is incorrect due to module not mounted,mount qjc r or qje b of function version b in the position specified as the head io no of the remote password file
mitsubishi,logic controller,remote pass error,qjc r or qje b of function version b under control of another cpu was specified in a multiple cpu system," change it to the qjc r or qje b of function version a under control of the host cpu 
 delete the remote password setting"
mitsubishi,logic controller,operation error,in a multiple cpu system the link direct device j g  was designated for the network module under control of another cpu," delete from the program the link direct device which designates the network module under control of another cpu 
 using the link direct device designate the network module under control of the host cpu"
mitsubishi,logic controller,operation error, or more multiple cpu dedicated instructions were executed from one cpu module,using the multiple cpu dedicated instruction completion bit provide interlocks to prevent one qcpu module from executing  or more multiple cpu dedicated instructions
mitsubishi,logic controller,operation error,number of the cclink instructions executed exceeds ,set the numbers of the cclink instructions to be executed to  or less
mitsubishi,logic controller,operation error,the cclink parameter is not set when the cclink instruction is executed,execute the cclink instruction after setting the cclink parameter
mitsubishi,logic controller,for next error,more than  nesting levels are programmed,set the nesting levels to or less
mitsubishi,logic controller,cant execute p,more than  nesting levels are programmed,set the nesting levels to or less
mitsubishi,logic controller,cant set s,total number of steps in all sfc programs exceeds the maximum value,reduce total number of steps to below the maximum value
mitsubishi,logic controller,wdt error,the scan time of the initial execution type program exceeded the initial execution monitoring time designated in the plc ras setting of the parameter,read the individual information of the error using a peripheral device check its value time and shorten the scan time
mitsubishi,logic controller,wdt error,the program scan time exceeded the wdt setting value designated in the plc ras setting of the parameter,read the individual information of the error using a peripheral device check its value time and shorten the scan time
mitsubishi,logic controller,prg time over,the low speed program execution time designated in the plc ras setting of the parameter exceeded the surplus time of the constant scan,review the constant scan time and low speed program execution time in the parameter in order to ensure the surplus time of constant scan sufficiently
mitsubishi,logic controller,prg time over,the scan time of the low speed scan type exceeded the low speed execution monitoring time designated in the plc ras setting of the parameter,read the individual information of the error using a peripheral device check its value time and shorten the scan time
mitsubishi,logic controller,prb verify error,the programs and parameters of the control and standby system in the redundant system are not the same,synchronize the programs and parameters of the control and standby system
mitsubishi,logic controller,mode verify error,the operational status of the control and standby system in the redundant system is not the same,synchronize the operation statuses of the control and standby system
mitsubishi,logic controller,trk memory error,a tracking memory fault of cpu module was detected at initial processing,change the cpu modules in order of the standby system cpu module and control system cpu module
mitsubishi,logic controller,trk memory error,the cpu module detected a fault during the handshake for tracking,check the condition of the other stations
mitsubishi,logic controller,control exe,the standby system is switched to the control system in a redundant system,check the control system condition
mitsubishi,logic controller,control wait,the control system has been switched to the standby system in a redundant system,check the control system condition
mitsubishi,logic controller,cant execute change,since the standby system is in an error or similar status in the redundant system the control system cannot be switched to the standby system,check the standby system condition
mitsubishi,logic controller,cant execute change,switching is disabled because of a bus switching module fault,this suggests a bus switching module hardware fault contact your nearest mitsubishi representative
mitsubishi,logic controller,cant execute change,during initial processing the switching cannot be executed since the multiplex master station of remote io network is installed to the standby station,check the remote io network setting
mitsubishi,logic controller,multi cpu down,in a multiple cpu system a cpu module fault occurred at the cpu where all station stop by stop error of plc was selected in the operating mode,read the individual information of the error check the error of the cpu resulting in the cpu module fault and remove the error
mitsubishi,logic controller,multi cpu down,in a multiple cpu system qcpu of function version a was mounted,remove the qcpu of function version a from the base module
mitsubishi,logic controller,multi cpu down,in a multiple cpu system a stop error occurs at cpu no at poweron and the other cpu cannot start,read the individual information of the error check the error of the cpu resulting in the cpu module fault and remove the error
mitsubishi,logic controller,multi cpu down,there is no response from the communication target cpu module at initial communication of in a multiple cpu system,reset the cpu module and make a run again if the same error is displayed again this suggests any cpu module hardware fault
mitsubishi,logic controller,multi cpu down,in a multiple cpu system qcpu of function version a was mounted,remove the qcpu of function version a from the base module
mitsubishi,logic controller,multi cpu down,there is no response from the communication target cpu module at initial communication in a multiple cpu system,reset the cpu module and make a run again if the same error is displayed again this suggests any cpu module hardware fault
mitsubishi,logic controller,multi exe error,in a multiple cpu system a faulty cpu module is mounted,read the individual information of the error and replace the faulty cpu module
mitsubishi,logic controller,multi exe error,in a multiple cpu system qcpu of function version a is mounted,replace the cpu of the function version a with the cpu of the function version b
mitsubishi,logic controller,multi exe error,in a multiple cpu system any of the cpu no  to  was reset during power on,do not reset any of the no  to  cpu modules reset the qcpu of cpu no and restart up the multiple cpu system
mitsubishi,logic controller,multi cpu error,in a multiple cpu system an cpu fault occurred in the cpu where system stop was not selected in the operation mode,read the individual information of the error check the error of the cpu resulting in the cpu module fault and remove the error
mitsubishi,logic controller,f,annunciator f was turned on,read the individual information of the error using a peripheral device and check the program of its numerical value annunciator number
mitsubishi,logic controller,chk err,an error was detected by the chk instruction,read the individual information of the error using a peripheral device and check the program of its numerical value error number
mitsubishi,logic controller,boot ok,storage of data onto rom was completed normally in automatic write to standard rom,set the parameter valid drive to the standard rom then switch power on again and perform boot operation from the standard rom
mitsubishi,logic controller,cont unit error,an error occurred in the cpu module other than the qcpu,check the details of the generated error by software package of applicable cpu module
panasonic,fpr,syntax error,a program with a syntax error has been written,change to prog mode and correct the error
panasonic,fpr,duplicated output error,two or more otout instructions and kpkeep instructions are programmed using the same relayalso occurs when using the same timercounter number,change to prog mode and correct the program so that one relay is not used for two or more ot instructionsor set the duplicated output to enable in system register
panasonic,fpr,not paired error,for instructions which must be used in a pair such as jump jp and lbl one instruction is either missing or in an incorrect position,change to prog mode and enter the two instructions which must be used in a pair in the correct positions
panasonic,fpr,parameter mismatch error,an instruction has been written which does not agree with system register settings,change to prog mode check the system register settings and change so that the settings and the instruction agree
panasonic,fpr,program area error,an instruction which must be written in a specific area main program area or subprogram area has been written to a different area,change to prog mode and enter the instruction into the correct area
panasonic,fpr,compile memory full error,the program is too large to compile in the program memory,change to prog mode and reduce the total number of steps for the program
panasonic,fpr,highlevel instruction type error,in the program highlevel instructions which execute in every scan and at the leading edge of the trigger are programmed to be triggered by one contact,correct the program so that the highlevel instructions executed in every scan and only at the leading edge are triggered separately
panasonic,fpr,highlevel instruction operand combination error,there is an incorrect operand in an instruction which requires a specific combination operands,enter the correct combination of operands
panasonic,fpr,no program error,program may be damaged,try to send the program again
panasonic,fpr,master memory model unmatch error,the models of master memories are different,use the master memories created with the same model
panasonic,fpr,users rom error,when the master memory cassette is mounted the master memor cassette may be damaged,remove the master memory and check whether the error turns off when the error turned off rewrite the master memory as its contents are damaged and use it again 
panasonic,fpr,users rom error,probably an abnormality in the memory unit,program the memory unit again and try to operate if the same error is detected try to operate with another memory unit
panasonic,fpr,users rom error,there may be a problem with the installed rom,check the contents of the rom
panasonic,fpr,unit installation error,units installed exceed the limitations,turn off the power and reconfigure units referring to the hardware manual
panasonic,fpr,system register error,probably an abnormality in the system register,check the system register setting or initialize the system registers
panasonic,fpr,configuration parameter error,a parameter error was detected in the mewnetw configuration area,set a correct parameter
panasonic,fpr,interrupt error ,an interrupt occurred without an interrupt request  a hardware problem or error due to noise is possible,turn off the power and check the noise conditions
panasonic,fpr,interrupt error ,there is no interrupt program for an interrupt which occurred,check the number of the interrupt program and change it to agree with the interrrupt request
panasonic,fpr,io status error,an abnormal unit is installed,check the contents of special data register and locate the abnormal unitthen turn off the power and replace the unit with a new one
panasonic,fpr,mewnetf slave illegal unit error,a unit which cannot be installed on the slave station of the mewnetf link systemis installed on the slave station,remove the illegal unit from the slave station
panasonic,fpr,mewnetf remore io limitation error,the number of slots or io points used for mewnetfremote io system exceeds the limitation,reconfigure the system so that the number of slots and io points is within the specified range
panasonic,fpr,mewnetf io mapping error,io overlap or io setting that is over the range is detected in the allocated io and mewnetf io map,reconfigure the io map correctly
panasonic,fpr,mewnetf slave io terminal mapping error,io mapping for remote io terminal boardsremote io terminal units and io link is not correct,reconfigure the io map for slave stations according to the io points of the slave stations
panasonic,fpr,ic card read error,ic memory card is not installed,install an ic memory card that has the program proterly recorded and execute the read once again
panasonic,fpr,ic card read error,there is no program file or it is damaged,install an ic memory card that has the program proterly recorded and execute the read once again
panasonic,fpr,ic card read error,writing is disabled,install an ic memory card that has the program proterly recorded and execute the read once again
panasonic,fpr,ic card read error,there is an abnormality in the autoexecspg file,install an ic memory card that has the program proterly recorded and execute the read once again
panasonic,fpr,ic card read error,program size stored on the card is larger than the capacity of the cpu,install an ic memory card that has the program proterly recorded and execute the read once again
panasonic,fpr,io error,abnormal io unit,check the contents of special data registers and abnormal io unitthen check the unit
panasonic,fpr,io error,mewnettr communication error fp and fpsh,check the contents of special data registersfpdtdtfpshdt dt and the erroneous master unit and abnormal io unit then check the unit
panasonic,fpr,intelligent unit error,an abnormality in an intelligent unit,check the contents of special data registers dtdt and locate the abnormal intelligent unit then check the unit referring to its manual
panasonic,fpr,io unit verify error,io unit expansion unit wiring condition has changed compared to that at time fo power up,check the contents of special data register and locate the erroneous expansion unit it checks whether an expansion connector is in agreement
panasonic,fpr,system watching dog timer error,scan time required for program execution exceeds the setting of the system watching dog timer,check the program and modify it so that the program can execute a scan within the specified time
panasonic,fpr,remote io communication error,mewnetf communication error a communication abnormally was caused by a transmission cable or during the power down of a slave station,check the contents of special data registers dt to dt and locate the abnormal slave station and recover the communication condition
panasonic,fpr,mewnetf attribute error,"in the unit on the slave station an abnormallty such as 
missing unit 
abnormal intelligent unit was detected",check the contents of special data registers dt to dt and locate the abnormal slave station and recover the slave condition
panasonic,fpr,expansion unit power supply sequence error,the power supply for the expansion unit was turned on after the control unit,turn on the power supply for the expansion unit at the same time or before the control unit is turend on
panasonic,fpr,backup battery error,the voltage of the backup battery lowered or the backup battery of conrol unit is not installed,check the installation of the backup battery and then replace battery if necessary by setting the system register  you can disregard this selfdiagnostic error
panasonic,fpr,mewnetf terminal station error,terminal station setting was not properly performed,check stations at both ends of the communication pathand set them in the terminal station using the dip switches
panasonic,fpr,ic memory card backxup battery error,the voltage of the backup battery for the ic memory card lowered the battled does not turn on,charge or replace the backup battry of ic memory card
panasonic,fpr,ic memory card backxup battery error,the voltage of the backup battery for ic memory card lowersthe battled does not turn on,charge or replace the backup battery of ic memory card
panasonic,fpr,incompatible ic memory card error,the ic memory card installed is not compatible,replace the ic memory card compatible with fpshfpsh
panasonic,fpr,no unit for the configuration,the mewnetw link unit or mcumulti communication unit is not installed in the slot specified using the configuration data,either install a unit in the specified slot or change the parameter
panasonic,fpr,selfxdiagnostic error set by f errp perr instruction,the error specified by the f errpperr instruction is occurred,take steps to clear the error condition according to the specification you chose
yokogawa,centum,interscs safety communication error information,an error that occurs when an application is created incorrectly,check the application logic
yokogawa,centum,interscs safety communication error information,no data received within the reception interval timeout value,check the producing side scs and the communication path
yokogawa,centum,interscs safety communication error information,time diagnosis found an error,check the producing side scs and the communication path
yokogawa,centum,communication stopped and data no longer arrived,communication was cut off or the producing side stopped,check the producing side scs and the communication path
yokogawa,centum,number of locks exceeded,this is an operation from the seng the number of locks is too many,cancel the variable locks
yokogawa,centum,number of overrides exceeded,this is an operation from the his there are too many overrides,cancel overrides
yokogawa,centum,number of enabled overrides exceeded,the total number of override fbs in the override enabled state exceeded the limit count  in the above example specified in sysovr fb,disable override fbs
yokogawa,centum,number of active passwd fbs exceeded,this is an operation from the his there are too many active passwd fbs,inactivate reset to off the passwd fbs that have exceeded the limit count
yokogawa,centum,ch fail,a channel error was detected,check to see if the connected devices and connecting cables are normal
yokogawa,centum,gps interface unit error,a cpu module  detected a gps unit error or time synchronization error there is a problem with the cable connecting the gps unit and the gps interface unit,check to see if a cable connecting the gps unit and the gps interface unit is disconnected or cut also check to see if a terminator is connected to the ends of the cable
yokogawa,centum,gps interface unit error,the gps interface unit has failed,replace the gps interface unit
yokogawa,centum,information of a diagnosis error in the received data of scs link transmission,no data received withxin the reception interval timeout value,check the sender scs and its communication path
yokogawa,centum,information of a diagnosis error in the received data of scs link transmission,time diagnosis found an error,check the sender scs and its communication path
yokogawa,centum,number of locked stations in scs link transmission exceeded,the number of locked stations exceeded the limit,cancel scs link transmission locks for some scs
yokogawa,centum,number of locked stations in interscs safety communication exceeded,the number of locked stations exceeded the limit,cancel interscs safety communication locks for some scs
yokogawa,centum,retainable data have been initialized,"database with different crc codes or generation time was offlinedownxloaded to the scs
data saved in the memory with backup battery volatilized",set the setting values of the external communication function blocks with data retaining function again
yokogawa,centum,information of interscs safety communication data lock timeup,interscs safety communication lock exceeded the time limit  hours in the above example specified in sysforcebd fb,check whether all interscs safety communication locks have been cancelxled and cancel unnecessary locks
yokogawa,centum,information of scs link transmission lock timeup,scs link transmission lock continued exceeding the time limit  hours in the above example specified in sysforcelt fb,check whether all scs link transmission locks have been cancelled and cancel unnecessary locks
yokogawa,centum,invalid password for manual operation fb,the password entered from the his and the password set in manual operaxtion fb did not match,enter the correct password for manual operation fb again
yokogawa,centum,information of communication module lock timeup,the communication module lock continued exceeding the time limit  hours in the above example specified in sysforcesc fb,check whether all communication module locks have been cancelled and cancel unnecessary locks
yokogawa,centum,nvram diagnosis error,an error was detected during diagnosis of nvram nonvolatile memory in a cpu module nvram may be faulty,replace the applicable cpu module
yokogawa,centum,flash memory diagnosis error,an error was detected during selfdiagnosis of flash memory in a cpu module,if the error is caused by the physical damage of the flash memory this system alarm will occur even after the damaged cpu is switched to standby under this circumstance it is necessary to change the damaged cpu module
yokogawa,centum,information of resource change by online change download,the resource was changed by online change download,check and confirm that the total number of pou indicated in this message is equal to the total number of pou indicated by database validity check tool
yokogawa,centum,failed to write to flash memory,flash memory may be faulty,change the cpu module
yokogawa,centum,failed to update external communication data,the cpu processing time allocated for the external communication function processing was not sufficient,reduce the communication load on the scs if this error occurs regularly review the balance between the application logic amount and the scan period
yokogawa,centum,information of security level timeup,the security level has not been reverted,revert the security level to 
yokogawa,centum,request to upload soe to seng,this message is generated every time  events have occurred on the scs,start soe viewer on seng and upload events from scs
yokogawa,centum,notification on saving soe trip signal file in scs,the soe trip signal file was saved in scs,start soe viewer on seng and upload the events in the file
yokogawa,centum,information of lock timeup,lock continued exceeding the time limit  hours in the above example specified in sysforce fb,forcing function sysforce fb
yokogawa,centum,online change download error,the security level stays ,set the security level to  and then execute online change download again
yokogawa,centum,information of override state timeup,override continued exceeding the time limit  hours in the above example specified in sysovr fb,check whether overrides were released and release unnecessary overrides
yokogawa,centum,invalid password for passwd fb,the password entered from the his and the password set in passwd fb did not match,specify the correct password for passwd fb and enter it again
yokogawa,centum,information on active passwd fb timeup,passwd fb has been active exceeding the time limit  hours in the above example specified in syspswd,deactivate passwd fb that is not required to be active
yokogawa,centum,override communication error,a temporary communication error occurred and the scs detected the problem of the communication data,execute override operation again
yokogawa,centum,transfer of control right of safety control station,the cpu module on one side was stopped,the cpu module on the standby side takes over control replace the cpu module that was stopped
yokogawa,centum,transfer of control right of safety control station,an error occurred in the cpu module on one side,the cpu module on the standby side takes over control replace the cpu module that was stopped
yokogawa,centum,fail information of safety control station,zero division occurred when running the application logic,check to see if the application logic conxtains zero division or not and correct the application logic if it contains
yokogawa,centum,fail information of safety control station,the application logic is trying to access an array datum beyond the scope of the array,check the application and find out which logic program is accessing the outofrange array data and correct the error
yokogawa,centum,fail information of safety control station,the database inconsistence is dextected it may be caused by restarting the scs without releasing the brake point,run offline downloading
yokogawa,centum,fail information of safety control station,the firmware revision f in the cpu module is too old to support the system with optical esb bus repeater modules,for a system that contains optical esb bus repeater modules the firmware of cpu with the proper revision number should be used
yokogawa,centum,fail information of safety control station,the cpu model and station model are inconsistent,match the cpu model and station model with each other
yokogawa,centum,fail information of safety control station,the calculation in a running application overflowed,check the application and find out what caused the calculation overflow and then modify it
yokogawa,centum,selfdiagnosis error of clock inside cpu module,an error was detected during selfdiagnosis of the clock inside the safety control station,replace the cpu module
yokogawa,centum,rom checksum error of cpu module,a rom checksum error was detected in the indicated cpu module right side in the above example of the safety control station station name  scs,replace the cpu module
yokogawa,centum,online downloading abnormal end,the scs was reset and started during online change download,execute offline download
yokogawa,centum,safety control station fan alarm,the cooling fan stopped or its revolution is abnormal,replace the failed fan unit
yokogawa,centum,safety control station temperature alarm,the cpu module temperature exceeded the specified value,after checking the operation of the cooling fans report to yokogawas service department as necessary
yokogawa,centum,power supply module alarm of safety control station,power supply module failure,replace the applicable power supply module
yokogawa,centum,battery alarm of cpu module,the battery switch is off or the battery is faulty,make sure that the switch of the applicable battery is on if the above message occurs even if the battery switch is on replace the battery
yokogawa,centum,information of same frame reception in online change download communication,the same communication frame was received twice during the execution of online change download code and frame indicate detailed internal information,execute online change download again
yokogawa,centum,information of online change download error,this error occurs if error data cannot be saved on the safety control station side,it is necessary to determine an action to take based on the code and data information
yokogawa,centum,esb bus error,this is an esb bus error on one side,check to see if the esb bus cables are connected correctly check for incorrect connection or bad connection of the cables or check the terminators of the bus
yokogawa,centum,failure of power supply module of node,failure of a power supply module of an io node,replace the power supply module of the applicable node
yokogawa,centum,failure of io module,an io module error was detected,replace the io module
yokogawa,centum,failure of io module,the communication program is not downloaded to the communication module,run iom download
yokogawa,centum,failure of io module,no response from the communication module due to communication module abnormality,change the communication module
yokogawa,centum,failure of io module,the communication program in the communication module is not the program for the communication defined in seng,run iom download
yokogawa,centum,failure of io module,the physically installed communication module shows a different model name from the communication module defined in seng,check the model of the communication module
yokogawa,centum,failure of io module,error is found by selfdiagnosis,change the communication module
yokogawa,centum,failure of io module,error found after resetting the communication module,change the communication module
yokogawa,centum,io module database error occurred,the database on the io module and the database on the scs do not match iom download has not been executed,if this error occurred after replacing a module or at startup the database might not have been downloaded to the io module execute iom download
yokogawa,centum,io module database error occurred,the database on the io module and the database on the scs do not match iom failure,if this error occurred during io module operation the io module may be faulty replace the io module
yokogawa,centum,heavy load on periodical processing,the load on the safety control station is too heavy,correct the application and reduce the load on the safety control station
yokogawa,centum,selfdiagnostic senbus failure,there is a failure in the senbus in the cpu node or the cpu module mounted,replace the cpu node or the cpu module mounted
yokogawa,centum,time selfdiagnostic testing error,a clock error is detected by selfdiagnosis while the cpu of either redundant or nonredundant is running,replace the cpu module
yokogawa,centum,communication overload,communication load to safety control station exceeded the limit,if the windows for the indicated safety control station are displayed on the centum his the windows need to be closed modifying the application prxgrams may also reduce the communication load to the safety control station
yokogawa,centum,faulty one esb bus in cpu module,the cpu module or the backboard of the cpu node may be faulty,replace the cpu module or the cpu node
yokogawa,centum,selfdiagnosis detected io error in cpu module,a cpu module error was detected,replace the cpu module
yokogawa,centum,selfdiagnosis detected io error in cpu module,the revision of the firmware f used in the cpu module is obsolete for the system configured with optical esb bus repeater modules,if a system contains optical esb bus repeater module the proper revision of cpu should be used
yokogawa,centum,selfdiagnosis detected io error in cpu module,scsps an error was detected during the diagnosis of io operation,if many io modules are installed on the esb bus extended with optical caxbles estimate the io communication band and check the validity
yokogawa,centum,selfdiagnosis detected io error in cpu module,scsps there may be a failure in the io unit of the cpu module,replace the scp card
rockwell,plantpax dcs,bios powersaving ,bios powersaving enabled,correct and verify disable the bios powersaving options
rockwell,plantpax dcs,cpu utilization,cpu utilization exceeds system recommendation,ensure cpu utilization is within  of used resources
rockwell,plantpax dcs,memory,memory utilization exceeds system recommendation,ensure memory utilization is within  of used resources
rockwell,plantpax dcs,bandwidth utilization,the bandwidth utilization is above ,review and verify the network architecture for system compliance
rockwell,plantpax dcs,packet error rate,the error rate is not zero but is not increasing,reset the network architecture
rockwell,plantpax dcs,packet error rate,error rate is greater than ,review and verify the network architecture for system compliance
rockwell,plantpax dcs,temperature,high temperature,rectify the environment and verify the network design
rockwell,plantpax dcs,network cpu utilization,cpu allocation is greater than ,review and verify the network architecture for system compliance
rockwell,plantpax dcs,network memory utilization,memory usage is greater than ,review and verify the network architecture for system compliance
rockwell,plantpax dcs,firewall,firewall is disabled,enable the firewall and ensure you follow the firewall rules that are detailed in the plantpax dcs infrastructure configuration user manual
rockwell,plantpax dcs,operating system,there is a mismatch between the operating system and the installed products,ensure the os being used is supported by the installed products
rockwell,plantpax dcs,nic powersaving,nic powersaving disabled,correct and reverify
rockwell,plantpax dcs,windows powersaving,when windows powersaving is enabled it turns windows os features which can interfere with network throughput,disable the windows powersaving mode
rockwell,plantpax dcs,windows automatic update,windows automatic update is enabled,"disable the windows automatic update to prevent updates that have not been qualified by rockwell 
automation from being installed on the workstation or server"
rockwell,plantpax dcs,event viewer,event viewer is presenting errors,the event viewer window appears make sure that you check each log verify that the logs do not contain errors
rockwell,plantpax dcs,os checks,the attributes of the operating system conform to plantpax system recommendations,review your computer configuration and make changes or upgrades to make sure that servers and workstations are within recommended limits
rockwell,plantpax dcs,disk checks,disk error has occurred in the system,address any drive issues on the computer or server that did not pass and reverify
rockwell,plantpax dcs,security center checks,system security error has occurred,review security settings and reverify if you made changes
rockwell,plantpax dcs,system service checks,the system service is not in a good state,address any system service issues on the computer or server that did not pass and reverify
rockwell,plantpax dcs,hardware device driver,hardware device driver is not supported in the plantpax system,address any device driver issues on the computer or server that did not pass and reverify
rockwell,plantpax dcs,cpu load,the cpu load complies with plantpax system recommendations,resize the system or split the servers for more cpu in a virtual environment
rockwell,plantpax dcs,network adapter,the network adapter is overloaded with traffic,reevaluate the network traffic and reverify
rockwell,plantpax dcs,disk performance,the performance of the disk is too low,replace the disk with a higher throughput or create additional disks
rockwell,plantpax dcs,memory capacity,memory capacity of the server is full,increase the memory capacity
rockwell,plantpax dcs,number of hmi servers,the number of hmi servers exceed the system limit,reduce the number of hmi servers in the system tree of the factorytalk administration console window
rockwell,plantpax dcs,number of alarm servers,the number of alarm servers exceed the system limit,reduce the number of alarm servers in the system tree of the factorytalk administration console window
rockwell,plantpax dcs,number of data servers,the number of data servers exceed the system limit,reduce the number of data servers in the system tree of the factorytalk administration console window servers can be simplex or redundant
rockwell,plantpax dcs,hmi and data server palcement ,hmi and data server are not placed in each of their respective areas,correct the area organization in the tree structure of the factorytalk administration console window or factorytalk view studio software
rockwell,plantpax dcs,points in use,number of points exceeds the points limit,reduce the number of configured points in the historian software
rockwell,plantpax dcs,scan rate,scan rate is faster than  second scanning data at a rate faster than the data is changing wastes network and computer resources and unnecessarily uses network bandwidth,reduce the speed at which the data is being scanned
rockwell,plantpax dcs,number of displays,total number of displays exceeds the display license,delete any unnecessary displays from the hmi server or update the license
rockwell,plantpax dcs,unique tags,"number of unique tags on any of the displays exceed plantpax 
recommendations",simplify your display to use less than  unique tags on the display
rockwell,plantpax dcs,expressions,"number of expressions on any of the displays exceed plantpax 
recommendations",simplify your display to use less than  expressions on the display
rockwell,plantpax dcs,global objects,number of global objects exceeds plantpax recommendations,simplify the display and redo the verification or verify the callup time on the display is acceptable to the operator
rockwell,plantpax dcs,display type,overlay display is in use and it consumes unnecessary memory and cpu resources,correct and reverify select the replace display type
rockwell,plantpax dcs,max tag update rate,max tag update rate exceeds plantpax system recommendations,set the update rate within the recommendation of  seconds or  second if needed to help reduce load on the data server
rockwell,plantpax dcs,display cache,display cache is adding additional memory affecting system load and system performance,correct and reverify or confirm this option is being used sparingly for frequently used displays where the incremental callup time performance is needed
rockwell,plantpax dcs,total cpu used,redundant controllers have used more than  of the total cpu and simplex controllers have used more than ,review your configuration scan rates and controller assignments and make necessary changes to fall within recommended limits
rockwell,plantpax dcs,task overlap,a task overlap has occured,make changes such as simplifying programs lengthening the period or raising the relative priority of your more important tasks
rockwell,plantpax dcs,io memory,io memory exceeds  for redundant controllers and  for simplex controllers,to reduce the number of io modules that are scanned by this controller make system changes
rockwell,plantpax dcs,data and logic,data and logic memory exceeds  for redundant controllers and  for simplex controllers,upgrade controller for more memory or make necessary application changes to reduce load
