,Fault,Diagnostic,Corrective Action,PLC,Model
1080,i/o error,abnormal i/o unit.,check the contents of special data registers and abnormal i/o unit.then check the unit.,Panasonic,FP0R
1081,i/o error,mewnet-tr communication error fp3 and fp10sh,"check the contents of special data registers(fp3:dt9002,dt9003,fp10sh:dt9 0002,dt90003) and the erroneous master unit and abnormal i/o unit. then check the unit.",Panasonic,FP0R
1082,intelligent unit error,an abnormality in an intelligent unit.,"check the contents of special data registers dt9006,dt9007 and locate the abnormal intelligent unit. then check the unit referring to its manual..",Panasonic,FP0R
1083,i/o unit verify error,i/o unit (expansion unit) wiring condition has changed compared to that at time fo power up.,check the contents of special data register and locate the erroneous expansion unit. it checks whether an expansion connector is in agreement.,Panasonic,FP0R
1084,system watching dog timer error,scan time required for program execution exceeds the setting of the system watching dog timer.,check the program and modify it so that the program can execute a scan within the specified time.,Panasonic,FP0R
1085,remote i/o communication error,mewnet-f communication error. a communication abnormally was caused by a transmission cable or during the power down of a slave station,check the contents of special data registers dt90131 to dt90137 and locate the abnormal slave station and recover the communication condition.,Panasonic,FP0R
1086,mewnet-f attribute error,"in the unit on the slave station, an abnormallty such as: 
-missing unit 
-abnormal intelligent unit was detected.",check the contents of special data registers dt90131 to dt90137 and locate the abnormal slave station and recover the slave condition.,Panasonic,FP0R
1087,expansion unit power supply sequence error,the power supply for the expansion unit was turned on after the control unit.,turn on the power supply for the expansion unit at the same time or before the control unit is turend on.,Panasonic,FP0R
1088,backup battery error,the voltage of the backup battery lowered or the backup battery of conrol unit is not installed.,"check the installation of the backup battery and then replace battery if necessary. by setting the system register 4, you can disregard this self-diagnostic error.",Panasonic,FP0R
1089,mewnet-f terminal station error,terminal station setting was not properly performed.,"check stations at both ends of the communication path,and set them in the terminal station using the dip switches.",Panasonic,FP0R
1090,ic memory card back_x0002_up battery error,the voltage of the backup battery for the ic memory card lowered. the batt.led does not turn on.,charge or replace the backup battry of ic memory card.,Panasonic,FP0R
1091,ic memory card back_x0002_up battery error,the voltage of the backup battery for ic memory card lowers.the batt.led does not turn on.,charge or replace the backup battery of ic memory card.,Panasonic,FP0R
1092,incompatible ic memory card error,the ic memory card installed is not compatible.,replace the ic memory card compatible with fp2sh/fp10sh.,Panasonic,FP0R
1093,no unit for the configuration,the mewnet-w2 link unit or mcu(multi communication unit) is not installed in the slot specified using the configuration data.,either install a unit in the specified slot or change the parameter.,Panasonic,FP0R
1094,self_x0002_diagnostic error set by f148 (err)/p148 (perr) instruction,the error specified by the f148 (err)/p148(perr) instruction is occurred.,take steps to clear the error condition according to the specification you chose.,Panasonic,FP0R
1095,inter-scs safety communication error information,an error that occurs when an application is created incorrectly.,check the application logic.,Yokogawa,Centum
1096,inter-scs safety communication error information,no data received within the reception interval timeout value,check the producing side scs and the communication path.,Yokogawa,Centum
1097,inter-scs safety communication error information,time diagnosis found an error.,check the producing side scs and the communication path.,Yokogawa,Centum
1098,communication stopped and data no longer arrived.,"communication was cut off, or the producing side stopped.",check the producing side scs and the communication path.,Yokogawa,Centum
1099,number of locks exceeded,this is an operation from the seng. the number of locks is too many,cancel the variable locks,Yokogawa,Centum
1100,number of overrides exceeded,this is an operation from the his. there are too many overrides.,cancel overrides,Yokogawa,Centum
1101,number of enabled overrides exceeded,the total number of override fbs in the override enabled state exceeded the limit count (3 in the above example) specified in sys_ovr fb.,disable override fbs,Yokogawa,Centum
1102,number of active passwd fbs exceeded,this is an operation from the his. there are too many active passwd fbs.,inactivate (reset to off) the passwd fbs that have exceeded the limit count.,Yokogawa,Centum
1103,ch fail,a channel error was detected,check to see if the connected devices and connecting cables are normal.,Yokogawa,Centum
1104,gps interface unit error,a cpu module  detected a gps unit error or time synchronization error. there is a problem with the cable connecting the gps unit and the gps interface unit.,"check to see if a cable connecting the gps unit and the gps interface unit is disconnected or cut. also, check to see if a terminator is connected to the ends of the cable.",Yokogawa,Centum
1105,gps interface unit error,the gps interface unit has failed.,replace the gps interface unit.,Yokogawa,Centum
1106,information of a diagnosis error in the received data of scs link transmission.,no data received with_x0002_in the reception interval timeout value,check the sender scs and its communication path.,Yokogawa,Centum
1107,information of a diagnosis error in the received data of scs link transmission.,time diagnosis found an error.,check the sender scs and its communication path.,Yokogawa,Centum
1108,number of locked stations in scs link transmission exceeded,the number of locked stations exceeded the limit,cancel scs link transmission locks for some scs.,Yokogawa,Centum
1109,number of locked stations in inter-scs safety communication exceeded,the number of locked stations exceeded the limit,cancel inter-scs safety communication locks for some scs.,Yokogawa,Centum
1110,retainable data have been initialized.,"database with different crc codes or generation time was offline-down_x0002_loaded to the scs.
data saved in the memory with backup battery volatilized.",set the setting values of the external communication function blocks with data retaining function again.,Yokogawa,Centum
1111,information of inter-scs safety communication data lock time-up,inter-scs safety communication lock exceeded the time limit (8 hours in the above example) specified in sys_force_bd fb.,check whether all inter-scs safety communication locks have been cancel_x0002_led and cancel unnecessary locks.,Yokogawa,Centum
1112,information of scs link transmission lock time-up,scs link transmission lock continued exceeding the time limit (8 hours in the above example) specified in sys_force_lt fb.,"check whether all scs link transmission locks have been cancelled, and cancel unnecessary locks.",Yokogawa,Centum
1113,invalid password for manual operation fb,the password entered from the his and the password set in manual opera_x0002_tion fb did not match.,enter the correct password for manual operation fb again.,Yokogawa,Centum
1114,information of communication module lock time-up,the communication module lock continued exceeding the time limit (8 hours in the above example) specified in sys_force_sc fb.,"check whether all communication module locks have been cancelled, and cancel unnecessary locks.",Yokogawa,Centum
1115,nvram diagnosis error,an error was detected during diagnosis of nvram (nonvolatile memory) in a cpu module. nvram may be faulty.,replace the applicable cpu module.,Yokogawa,Centum
1116,flash memory diagnosis error,an error was detected during self-diagnosis of flash memory in a cpu module,"if the error is caused by the physical damage of the flash memory, this system alarm will occur even after the damaged cpu is switched to standby. under this circumstance, it is necessary to change the damaged cpu module.",Yokogawa,Centum
1117,information of resource change by online change download,the resource was changed by online change download.,check and confirm that the total number of pou indicated in this message is equal to the total number of pou indicated by database validity check tool.,Yokogawa,Centum
1118,failed to write to flash memory,flash memory may be faulty.,change the cpu module,Yokogawa,Centum
1119,failed to update external communication data,the cpu processing time allocated for the external communication function processing was not sufficient.,"reduce the communication load on the scs. if this error occurs regularly, review the balance between the application logic amount and the scan period",Yokogawa,Centum
1120,information of security level time-up,the security level has not been reverted.,revert the security level to “2.”,Yokogawa,Centum
1121,request to upload soe to seng,"this message is generated every time 12,000 events have occurred on the scs.",start soe viewer on seng and upload events from scs.,Yokogawa,Centum
1122,notification on saving soe trip signal file in scs,the soe trip signal file was saved in scs.,start soe viewer on seng and upload the events in the file.,Yokogawa,Centum
1123,information of lock time-up,lock continued exceeding the time limit (8 hours in the above example) specified in sys_force fb.,"forcing function, sys_force fb",Yokogawa,Centum
1124,online change download error,the security level stays “2.”,set the security level to “1” and then execute online change download again.,Yokogawa,Centum
1125,information of override state time-up,override continued exceeding the time limit (8 hours in the above example) specified in sys_ovr fb.,"check whether overrides were released, and release unnecessary overrides.",Yokogawa,Centum
1126,invalid password for passwd fb,the password entered from the his and the password set in passwd fb did not match.,specify the correct password for passwd fb and enter it again.,Yokogawa,Centum
1127,information on active passwd fb time-up,passwd fb has been active exceeding the time limit (10 hours in the above example) specified in sys_pswd.,deactivate passwd fb that is not required to be active.,Yokogawa,Centum
1128,override communication error,"a temporary communication error occurred, and the scs detected the problem of the communication data",execute override operation again.,Yokogawa,Centum
1129,transfer of control right of safety control station,the cpu module on one side was stopped.,the cpu module on the standby side takes over control. replace the cpu module that was stopped.,Yokogawa,Centum
1130,transfer of control right of safety control station,an error occurred in the cpu module on one side.,the cpu module on the standby side takes over control. replace the cpu module that was stopped.,Yokogawa,Centum
1131,fail information of safety control station,zero division occurred when running the application logic.,"check to see if the application logic con_x0002_tains zero division or not, and correct the application logic if it contains.",Yokogawa,Centum
1132,fail information of safety control station,the application logic is trying to access an array datum beyond the scope of the array.,check the application and find out which logic program is accessing the out-of-range array data and correct the error.,Yokogawa,Centum
1133,fail information of safety control station,the database inconsistence is de_x0002_tected. it may be caused by restarting the scs without releasing the brake point.,run offline downloading.,Yokogawa,Centum
1134,fail information of safety control station,the firmware (revision f4) in the cpu module is too old to support the system with optical esb bus repeater modules,"for a system that contains optical esb bus repeater modules, the firmware of cpu with the proper revision number should be used.",Yokogawa,Centum
1135,fail information of safety control station,the cpu model and station model are inconsistent.,match the cpu model and station model with each other.,Yokogawa,Centum
1136,fail information of safety control station,the calculation in a running application overflowed.,check the application and find out what caused the calculation overflow and then modify it.,Yokogawa,Centum
1137,self-diagnosis error of clock inside cpu module,an error was detected during self-diagnosis of the clock inside the safety control station,replace the cpu module.,Yokogawa,Centum
1138,rom checksum error of cpu module,a rom checksum error was detected in the indicated cpu module (right side in the above example) of the safety control station (station name = scs0101).,replace the cpu module.,Yokogawa,Centum
1139,online downloading abnormal end,the scs was reset and started during online change download.,execute offline download.,Yokogawa,Centum
1140,safety control station fan alarm,the cooling fan stopped or its revolution is abnormal.,replace the failed fan unit.,Yokogawa,Centum
1141,safety control station temperature alarm,the cpu module temperature exceeded the specified value.,"after checking the operation of the cooling fans, report to yokogawa’s service department as necessary.",Yokogawa,Centum
1142,power supply module alarm of safety control station,power supply module failure,replace the applicable power supply module.,Yokogawa,Centum
1143,battery alarm of cpu module,"the battery switch is off, or the battery is faulty.","make sure that the switch of the applicable battery is on. if the above message occurs even if the battery switch is on, replace the battery.",Yokogawa,Centum
1144,information of same frame reception in online change download communication,the same communication frame was received twice during the execution of online change download. “code” and “frame” indicate detailed internal information.,execute online change download again.,Yokogawa,Centum
1145,information of online change download error,this error occurs if error data cannot be saved on the safety control station side.,it is necessary to determine an action to take based on the “code” and “data” information.,Yokogawa,Centum
1146,esb bus error,this is an esb bus error on one side.,"check to see if the esb bus cables are connected correctly. check for incorrect connection or bad connection of the cables, or check the terminators of the bus.",Yokogawa,Centum
1147,failure of power supply module of node,failure of a power supply module of an i/o node,replace the power supply module of the applicable node.,Yokogawa,Centum
1148,failure of i/o module,an i/o module error was detected.,replace the i/o module.,Yokogawa,Centum
1149,failure of i/o module,the communication program is not downloaded to the communication module.,run iom download.,Yokogawa,Centum
1150,failure of i/o module,no response from the communication module due to communication module abnormality.,change the communication module.,Yokogawa,Centum
1151,failure of i/o module,the communication program in the communication module is not the program for the communication defined in seng.,run iom download,Yokogawa,Centum
1152,failure of i/o module,the physically installed communication module shows a different model name from the communication module defined in seng.,check the model of the communication module.,Yokogawa,Centum
1153,failure of i/o module,error is found by self-diagnosis.,change the communication module.,Yokogawa,Centum
1154,failure of i/o module,error found after resetting the communication module.,change the communication module.,Yokogawa,Centum
1155,i/o module database error occurred,the database on the i/o module and the database on the scs do not match. iom download has not been executed.,"if this error occurred after replacing a module or at startup, the database might not have been downloaded to the i/o module. execute iom download.",Yokogawa,Centum
1156,i/o module database error occurred,the database on the i/o module and the database on the scs do not match. iom failure.,"if this error occurred during i/o module operation, the i/o module may be faulty. replace the i/o module.",Yokogawa,Centum
1157,heavy load on periodical processing,the load on the safety control station is too heavy.,correct the application and reduce the load on the safety control station.,Yokogawa,Centum
1158,self-diagnostic sen-bus failure,there is a failure in the sen-bus in the cpu node or the cpu module mounted.,replace the cpu node or the cpu module mounted.,Yokogawa,Centum
1159,time self-diagnostic testing error,a clock error is detected by self-diagnosis while the cpu of either redundant or non-redundant is running.,replace the cpu module.,Yokogawa,Centum
1160,communication overload,communication load to safety control station exceeded the limit.,"if the windows for the indicated safety control station are displayed on the centum his, the windows need to be closed. modifying the application pr_x0002_grams may also reduce the communication load to the safety control station",Yokogawa,Centum
1161,faulty one esb bus in cpu module,the cpu module or the backboard of the cpu node may be faulty.,replace the cpu module or the cpu node.,Yokogawa,Centum
1162,self-diagnosis detected i/o error in cpu module,a cpu module error was detected.,replace the cpu module.,Yokogawa,Centum
1163,self-diagnosis detected i/o error in cpu module,the revision of the firmware (f4) used in the cpu module is obsolete for the system configured with optical esb bus repeater modules.,"if a system contains optical esb bus repeater module, the proper revision of cpu should be used.",Yokogawa,Centum
1164,self-diagnosis detected i/o error in cpu module,scsp2-s: an error was detected during the diagnosis of i/o operation.,"if many i/o modules are installed on the esb bus extended with optical ca_x0002_bles, estimate the i/o communication band and check the validity.",Yokogawa,Centum
1165,self-diagnosis detected i/o error in cpu module,scsp2-s: there may be a failure in the i/o unit of the cpu module.,replace the scp461 card.,Yokogawa,Centum
1166,bios power-saving ,bios power-saving enabled.,correct and verify. disable the bios power-saving options.,Rockwell,PlantPAx DCS
1167,cpu utilization,cpu utilization exceeds system recommendation.,ensure cpu utilization is within 50% of used resources.,Rockwell,PlantPAx DCS
1168,memory,memory utilization exceeds system recommendation.,ensure memory utilization is within 50% of used resources.,Rockwell,PlantPAx DCS
1169,bandwidth utilization,the bandwidth utilization is above 50%,review and verify the network architecture for system compliance,Rockwell,PlantPAx DCS
1170,packet error rate,the error rate is not zero but is not increasing.,reset the network architecture.,Rockwell,PlantPAx DCS
1171,packet error rate,error rate is greater than 0.,review and verify the network architecture for system compliance,Rockwell,PlantPAx DCS
1172,temperature,high temperature,rectify the environment and verify the network design.,Rockwell,PlantPAx DCS
1173,network cpu utilization,cpu allocation is greater than 50%,review and verify the network architecture for system compliance,Rockwell,PlantPAx DCS
1174,network memory utilization,memory usage is greater than 50%.,review and verify the network architecture for system compliance,Rockwell,PlantPAx DCS
1175,firewall,firewall is disabled,enable the firewall and ensure you follow the firewall rules that are detailed in the plantpax dcs infrastructure configuration user manual.,Rockwell,PlantPAx DCS
1176,operating system,there is a mismatch between the operating system and the installed products.,ensure the os being used is supported by the installed products.,Rockwell,PlantPAx DCS
1177,nic power-saving,nic power-saving disabled,correct and reverify.,Rockwell,PlantPAx DCS
1178,windows power-saving,when windows power-saving is enabled it turns windows os features which can interfere with network throughput.,disable the windows power-saving mode.,Rockwell,PlantPAx DCS
1179,windows automatic update,windows automatic update is enabled.,"disable the windows automatic update to prevent updates that have not been qualified by rockwell 
automation from being installed on the workstation or server.",Rockwell,PlantPAx DCS
1180,event viewer,event viewer is presenting errors.,the event viewer window appears. make sure that you check each log. verify that the logs do not contain errors.,Rockwell,PlantPAx DCS
1181,os checks,the attributes of the operating system conform to plantpax system recommendations.,review your computer configuration and make changes or upgrades to make sure that servers and workstations are within recommended limits.,Rockwell,PlantPAx DCS
1182,disk checks,disk error has occurred in the system.,address any drive issues on the computer or server that did not pass and reverify.,Rockwell,PlantPAx DCS
1183,security center checks,system security error has occurred.,review security settings and reverify if you made changes.,Rockwell,PlantPAx DCS
1184,system service checks,the system service is not in a good state.,address any system service issues on the computer or server that did not pass and reverify.,Rockwell,PlantPAx DCS
1185,hardware device driver,hardware device driver is not supported in the plantpax system.,address any device driver issues on the computer or server that did not pass and reverify.,Rockwell,PlantPAx DCS
1186,cpu load,the cpu load complies with plantpax system recommendations.,resize the system or split the servers for more cpu in a virtual environment.,Rockwell,PlantPAx DCS
1187,network adapter,the network adapter is overloaded with traffic,reevaluate the network traffic and reverify.,Rockwell,PlantPAx DCS
1188,disk performance,the performance of the disk is too low.,replace the disk with a higher throughput or create additional disks,Rockwell,PlantPAx DCS
1189,memory capacity,memory capacity of the server is full.,increase the memory capacity.,Rockwell,PlantPAx DCS
1190,number of hmi servers,the number of hmi servers exceed the system limit.,reduce the number of hmi servers in the system tree of the factorytalk administration console window.,Rockwell,PlantPAx DCS
1191,number of alarm servers,the number of alarm servers exceed the system limit.,reduce the number of alarm servers in the system tree of the factorytalk administration console window.,Rockwell,PlantPAx DCS
1192,number of data servers,the number of data servers exceed the system limit.,reduce the number of data servers in the system tree of the factorytalk administration console window. servers can be simplex or redundant.,Rockwell,PlantPAx DCS
1193,hmi and data server palcement ,hmi and data server are not placed in each of their respective areas.,correct the area organization in the tree structure of the factorytalk administration console window or factorytalk view studio software.,Rockwell,PlantPAx DCS
1194,points in use,number of points exceeds the points limit.,reduce the number of configured points in the historian software.,Rockwell,PlantPAx DCS
1195,scan rate,scan rate is faster than 1 second. scanning data at a rate faster than the data is changing wastes network and computer resources and unnecessarily uses network bandwidth.,reduce the speed at which the data is being scanned.,Rockwell,PlantPAx DCS
1196,number of displays,total number of displays exceeds the display license.,delete any unnecessary displays from the hmi server or update the license.,Rockwell,PlantPAx DCS
1197,unique tags,"number of unique tags on any of the displays exceed plantpax 
recommendations.","simplify your display to use less than 1,000 unique tags on the display.",Rockwell,PlantPAx DCS
1198,expressions,"number of expressions on any of the displays exceed plantpax 
recommendations.","simplify your display to use less than 1,000 expressions on the display.",Rockwell,PlantPAx DCS
1199,global objects,number of global objects exceeds plantpax recommendations.,"simplify the display and redo the verification. or, verify the call-up time on the display is acceptable to the operator",Rockwell,PlantPAx DCS
1200,display type,overlay display is in use and it consumes unnecessary memory and cpu resources.,correct and reverify. select the replace display type.,Rockwell,PlantPAx DCS
1201,max tag update rate,max tag update rate exceeds plantpax system recommendations.,"set the update rate within the recommendation of 0.5 seconds or 1 second, if needed, to help reduce load on the data server.",Rockwell,PlantPAx DCS
1202,display cache,display cache is adding additional memory affecting system load and system performance.,"correct and reverify. or, confirm this option is being used sparingly for frequently used displays where the incremental call-up time performance is needed",Rockwell,PlantPAx DCS
1203,total cpu used,redundant controllers have used more than 50% of the total cpu and simplex controllers have used more than 25%.,"review your configuration, scan rates, and controller assignments and make necessary changes to fall within recommended limits.",Rockwell,PlantPAx DCS
1204,task overlap,a task overlap has occured.,"make changes such as simplifying programs, lengthening the period, or raising the relative priority of your more important tasks.",Rockwell,PlantPAx DCS
1205,i/o memory,i/o memory exceeds 50% for redundant controllers and 75% for simplex controllers.,"to reduce the number of i/o modules that are scanned by this controller, make system changes.",Rockwell,PlantPAx DCS
1206,data and logic,data and logic memory exceeds 50% for redundant controllers and 25% for simplex controllers.,upgrade controller for more memory or make necessary application changes to reduce load.,Rockwell,PlantPAx DCS
1207,total connections used ,total coonections used are >50% of the allowed connections.,make necessary application changes to reduce the changes below the recommended limit.,Rockwell,PlantPAx DCS
1208,i/o connections,i/o connections >50% of i/o connections allowed.,simplify your i/o tree/structure to communicate to fewer devices to lower the i/o connections,Rockwell,PlantPAx DCS
1209,produced tags,the number of connections that are used to produce tags exceeds 50% of the controller capacity.,"reduce connections by consolidating tags into one structure or tag, or by deleting all but the most crucial produced tags. also make sure that the number of maximum consumers that are configured for a produced tag is set to th e minimum needed.",Rockwell,PlantPAx DCS
1210,consumed tags,the number of connections that are used to consumed tags exceeds 50% capacity.,"reduce connections by consolidating tags into one structure or tag, or by deleting all but the most crucial consumed tags. also make sure that the number of maximum consumers that are configured for a consumed tag is set to the minimum needed.",Rockwell,PlantPAx DCS
1211,unconnected buffers,the number of message and block transfer connections due to unconnected buffers is > 50% of allowable connections.,simplify your communications to remote devices by using unconnected messages and block transfer communications by unchecking the ‘cache connection’ to lower the usage.,Rockwell,PlantPAx DCS
1212,message/block cache,the number of message and block transfer cache connections is > 50% of allowable connections.,simplify your communications to remote devices by using messages and block transfer communications in a cached manner to lower the connections that are used.,Rockwell,PlantPAx DCS
1213,out of memory,memory is insufficient.,increase the memory size.,Yokogawa,Stardom
1214,the tag (%2) of collection block (%1) does not exist on the opc server.,tag yyy defined in acquisition block xxx by history builder was later deleted from object builder.,check the acquisition definition.,Yokogawa,Stardom
1215,the trigger tag (%2) of collection block (%1) does not exist on the opc server.,trigger tag yyy defined in acquisition block xxx by history builder was later deleted from object builder.,check the acquisition definition.,Yokogawa,Stardom
1216,failed to write to archived long-term data file of collection block (%1).,disk space is insufficient.,delete any unnecessary files.,Yokogawa,Stardom
1217,cannot find the license.,the license cannot be found because it was not licensed correctly.,install the license correctly.,Yokogawa,Stardom
1218,failed to connect to the data server or opc server (%1).,program is incorrectly installed or data server start failed,install the program correctly or restart the data server.,Yokogawa,Stardom
1219,cannot find the specified aqcuisition definition file (%1).,it is possible that copying of the acquisition definition file failed.,copy the acquisition definition file again.,Yokogawa,Stardom
1220,the specified extension of acquisition definition file (%1) is not permitted.,it is possible that copying of the acquisition definition file failed.,copy the acquisition definition file again.,Yokogawa,Stardom
1221,scaning overrun!,an overrun occurred with the scan period nn.,reconsider the scan period or the number of devices registered.,Yokogawa,Stardom
1222,failed to register a item.,device registration failed.,review device definition information.,Yokogawa,Stardom
1223,timeout error!,a communication timeout occurred.,check the communication path or communication information settings.,Yokogawa,Stardom
1224,invalid parameter.,parameter argument is incorrect.,there is an error in the argument.,Yokogawa,Stardom
1225,cannot open the port for receiving the events,there may be a duplicate host information port number in another i/o object.,check the i/o object properities.,Yokogawa,Stardom
1226,accessed a illegal device.,an unsupported device was accessed.,access a supported device,Yokogawa,Stardom
1227,invalid data type.,there is an error in the data type.,check the analog type specified for each tag.,Yokogawa,Stardom
1228,illegal setting value.,there is an error in the write value.,check the setting range for each device.,Yokogawa,Stardom
1229,cannot logon to the device.,log in to the device failed.,there may be an excess number of connections or an error in the user name or password specified.,Yokogawa,Stardom
1230,i/o address or number of i/os error!,an unsupported i/o address or number of i/o points was specified.,specify a supported i/o address or number of i/o points,Yokogawa,Stardom
1231,failed to open hse client i/f.,failed to establish a connection to the fcn fcj.,retry to open.,Yokogawa,Stardom
1232,failed to read adlst file.,this is an internal error.,retry to read.,Yokogawa,Stardom
1233,resource name,no resource name exists.,check the host name or the i/p address setting for the i/o object,Yokogawa,Stardom
1234,unrecognizable data type. this data instance is invalid.,there is a data format in the adlst that the driver cannot handle.,use only data formats that can be utilized.,Yokogawa,Stardom
1235,mismatch in the number of array elements,there is a data instance that is defined with a different data format between object builder and logic designer.,use the correct corresponding data format.,Yokogawa,Stardom
1236,data size mismatch,there is a data instance that is defined with a different data size between object builder and logic designer.,match the data sizes.,Yokogawa,Stardom
1237,mismatch in the number of array elements,there is a data instance that is defined with a different number of array elements between object builder and logic designer.,match the number of array elements.,Yokogawa,Stardom
1238,mismatch in the number of letters.,there is a data instance that is defined with a different number of characters between object builder and logic designer.,match the number of characters.,Yokogawa,Stardom
1239,the data instance name does not exist in the adlst file.,the i/o address defined by object builder is not in the adlst.,check to see if the i/o address is correct or if that data instance exists in the logic designer.,Yokogawa,Stardom
1240,a length of a instance name is over 80 bytes.,there was a message with an instance name greater than 80 bytes but this was disregarded.,the length of the instance name should not exceed 80 bytes.,Yokogawa,Stardom
1241,cannot open a registry key.,the installation may not have been performed properly.,perform the installation properly.,Yokogawa,Stardom
1242,cannot get clsid of an i/o driver.,the i/o driver may not be installed correctly.,install the i/o driver correctly.,Yokogawa,Stardom
1243,failed to load an i/o driver.,the i/o driver may not be installed correctly.,install the i/o driver correctly.,Yokogawa,Stardom
1244,failed to get an i/o driver interface.,the i/o driver may not be installed correctly.,install the i/o driver correctly.,Yokogawa,Stardom
1245,failed to create device database.,disk capacity or system resources are insufficient.,increase the disk capacity or system resources.,Yokogawa,Stardom
1246,failed to initialize i/o data chache.,disk capacity or system resources are insufficient.,increase the disk capacity or system resources.,Yokogawa,Stardom
1247,cannot access an id module.,the id module can no longer be recognized. either the id module is disconnected or it may be broken.,"shut down the system, turn off your computer, and then verify that the id module is properly installed.",Yokogawa,Stardom
1248,an id module has not been installed.,the id module cannot be recognized. either the id module is disconnected or it may be broken.,"shut down the system, turn off your computer, and then verify that the id module is properly installed.",Yokogawa,Stardom
1249,cannot find the message definition file.,the message definition file has broken down.,redo the message definition.,Yokogawa,Stardom
1250,data server access error,data server access failed.,check the operation of the data server.,Yokogawa,Stardom
1251,application message file,cannot read the application message file.,"define the application message by message builder. or, check the runtime file setting.",Yokogawa,Stardom
1252,alarm error,cannot notify the alarm.,check whether the alarm summary is operating.,Yokogawa,Stardom
1253,shutdown notification,cannot register the shutdown notification.,check the operation of the process control server.,Yokogawa,Stardom
1254,license,license cannot be found,check the id module.,Yokogawa,Stardom
1255,audible alarm,audible alarm error,check the wave file.,Yokogawa,Stardom
1256,cannot open the registry.,installation may not have been done properly.,re-install.,Yokogawa,Stardom
1257,cannot read a registry value.,installation may not have been done properly.,re-install.,Yokogawa,Stardom
1258,cannot write to the registry.,installation may not have been done properly.,re-install.,Yokogawa,Stardom
1259,cannot open printer port.,incorrect printer port setting in the message management environment.,check the printer port setting in the message management environment setting.,Yokogawa,Stardom
1260,failed to get registry value.,program was not correctly installed.,re-install.,Yokogawa,Stardom
1261,i/o data,failed to write i/o data.,check i/o status.,Yokogawa,Stardom
1262,i/o data,failed to read i/o data.,check i/o status.,Yokogawa,Stardom
1263,cannot open a file.,number of connections to message management server exceeds 16.,remove alarmfsx2 control or more for remote connection to message management server with msghistx controls.,Yokogawa,Stardom
1264,database access error,xxx is the database error code.,check the list of error codes from the database vendor,Yokogawa,Stardom
1265,ad status was detected.,bad was detected because of the xx block data processing status.,check the status of the device or communication.,Yokogawa,Stardom
1266,internal error.,some system factor (such as insufficient resources) caused the fatal status.,check the system status using the windows management tool.,Yokogawa,Stardom
1267,account_prompt_failed,internal error. failed to activate the dialog to input the connect account.,try to repair the windows installation.,ABB,800XA
1268,aspdir_down,the aspect directory is down on the provider side.,check the status of the provider.,ABB,800XA
1269,aspect_not_found,internal error. no subscribe information was found for the proxy aspect.,try to upload all proxy objects again to regain internal table consistency.,ABB,800XA
1270,bad_id,internal error. bad identifier (used in multiple places).,remove the bad identifier,ABB,800XA
1271,bad_password,the passwords defined for the remote access server and client pair do not match each other.,define the password again both on the provider and subscriber side.,ABB,800XA
1272,bad_unit_id,internal error. remote access server/client unit did not exist.,allow remote access server/client unit.,ABB,800XA
1273,bad_version,the version of the remote access server and client is different and no common version can be found.,install the same version of 800xa multisystem integration on both the provider and subscriber.,ABB,800XA
1274,consys_invalidaccount,the account name or password is wrong for the connect account.,"ensure the account name exists as a local user in the node, or as a domain user.",ABB,800XA
1275,file_error,file error when reading or writing data related to the remote access client service.,check access to disc and if the disc is full.,ABB,800XA
1276,file_format,file format error in remote access client service data. this may happen if a newer version of the multisystem integration function is installed,do a full new upload after installing the newer version of the multisystem integration function to get correct data.,ABB,800XA
1277,file_version,file version error in remote access client service data.,do a full new upload after installing the newer version of the multisystem integration function to get correct data.,ABB,800XA
1278,id_used,the user mapping is already used.,use a user mapping that is not already in use.,ABB,800XA
1279,id_in_use,internal error. identifier already in use.,use an identifier that is not already in use.,ABB,800XA
1280,invalid_section,a section is uploaded through a reference without being explicitly uploaded.,upload the section before any objects referencing the section.,ABB,800XA
1281,no_connection,currently no connection open to the provider system.,check the connection status to pinpoint the problem.,ABB,800XA
1282,no_license,there is no enough number of licenses for multisystem integration,ensure there is enough number of licenses for multisystem integration.,ABB,800XA
1283,no_local_insert_position,the object configured as parent to the uploaded objects do not exists.,check the upload configuration.,ABB,800XA
1284,no_rac_unit,internal error. no remote access client unit to address.,try to restart the remote access client service.,ABB,800XA
1285,no_subscribeinfo,no property information was found for a remote object proxy. this is an indication of an internal error,redo the upload of the full structure specified for the remote object connection.,ABB,800XA
1286,no_proxy,no proxy found when expected.,run 'upload clean' and then upload everything to rebuild consistent memory tables.,ABB,800XA
1287,no_proxy_template,no log template was found for the log during upload.,run 'upload clean' and then upload everything to rebuild consistent memory tables.,ABB,800XA
1288,no_remote_system,no connection to the remote system.,check the status to see what is wrong.,ABB,800XA
1289,no_template,no log template was found for the log.,rerun the upload to rebuild the internal tables.,ABB,800XA
1290,no_logcfg,no log configuration was found for the log.,rerun the upload to rebuild the internal tables.,ABB,800XA
1291,nohost,no valid host definition for remote access client.,check the configuration of the remote access client.,ABB,800XA
1292,not_complete_section,tried to upload a subsection without uploading the top section.,upload the top section before uploading a subsection.,ABB,800XA
1293,objectid_in_use,internal error. object identifier was already used by another object.,try to upload all proxy objects again to regain internal table consistency.,ABB,800XA
1294,object_not_locked,the object to write to is not locked by the current user.,lock the object before you write.,ABB,800XA
